"(3, 3100)",34.4%
"(3, 3200)",32.4%
"(3, 3300)",31.2%
"(3, 3400)",31.4%
"(3, 3500)",36.4%
"(3, 3600)",33.6%
"(3, 3700)",32.6%
"(3, 3800)",35.8%
"(3, 3900)",30.2%
"(3, 4000)",33.2%
"(3, 4100)",35.4%
"(3, 4200)",33.6%
"(3, 4300)",29.799999999999997%
"(3, 4400)",30.599999999999998%
"(3, 4500)",31.6%
"(3, 4600)",35.4%
"(3, 4700)",33.0%
"(3, 4800)",33.4%
"(3, 4900)",31.8%
"(3, 5000)",36.8%
"(3, 5100)",33.800000000000004%
"(3, 5200)",36.0%
"(3, 5300)",30.0%
"(3, 5400)",35.8%
"(3, 5500)",32.0%
"(3, 5600)",29.2%
"(3, 5700)",34.8%
"(3, 5800)",34.8%
"(3, 5900)",35.199999999999996%
"(3, 6000)",31.2%
"(3, 6100)",29.799999999999997%
"(3, 6200)",32.6%
"(3, 6300)",33.4%
"(3, 6400)",38.2%
"(3, 6500)",32.2%
"(3, 6600)",34.0%
"(3, 6700)",34.599999999999994%
"(3, 6800)",33.4%
"(3, 6900)",34.300000000000004%
"(3, 7000)",34.4%
"(3, 7100)",28.860294117647058%
"(3, 7200)",32.2%
"(3, 7300)",38.6%
"(3, 7400)",30.599999999999998%
"(3, 7500)",35.6%
"(3, 8000)",32.2%
"(3, 8500)",34.2%
"(3, 9000)",35.0%
"(3, 9500)",30.599999999999998%
"(3, 10000)",30.4%
"(3, 10500)",34.8%
"(3, 11000)",33.2%
"(3, 11500)",36.0%
"(3, 12000)",31.6%
"(3, 12500)",36.0%
"(3, 13000)",34.0%
"(3, 13500)",29.2%
"(3, 14000)",36.0%
"(3, 14500)",28.799999999999997%
"(3, 15000)",34.4%
"(4, 200)",18.0%
"(4, 300)",16.400000000000002%
"(4, 400)",19.2%
"(4, 500)",22.6%
"(4, 600)",19.2%
"(4, 700)",20.599999999999998%
"(4, 800)",20.0%
"(4, 900)",19.6%
"(4, 1000)",20.599999999999998%
"(4, 1100)",20.0%
"(4, 1200)",21.2%
"(4, 1300)",17.599999999999998%
"(4, 1400)",20.599999999999998%
"(4, 1500)",20.4%
"(4, 1600)",17.4%
"(4, 1700)",22.0%
"(4, 1800)",18.6%
"(4, 1900)",17.2%
"(4, 2000)",18.2%
"(4, 2100)",19.2%
"(4, 2200)",16.400000000000002%
"(4, 2300)",17.0%
"(4, 2400)",17.2%
"(4, 2500)",22.2%
"(4, 2600)",19.0%
"(4, 2700)",18.6%
"(4, 2800)",19.400000000000002%
"(4, 2900)",19.2%
"(4, 3000)",19.2%
"(4, 3100)",20.8%
"(4, 3200)",20.0%
"(4, 3300)",17.0%
"(4, 3400)",16.8%
"(4, 3500)",20.599999999999998%
"(4, 3600)",17.8%
"(4, 3700)",16.6%
"(4, 3800)",19.400000000000002%
"(4, 3900)",16.400000000000002%
"(4, 4000)",17.599999999999998%
